grid;level1;level2;level3;level4;level5;activitySum;activityCategory
688:328;1;97.6;173.2;227.2;263.2;245;4
688:329;1;97.6;173.2;227.2;263.2;257;4
688:330;1;97.6;173.2;227.2;263.2;220;3
688:331;1;97.6;173.2;227.2;263.2;193;3
688:332;1;97.6;173.2;227.2;263.2;239;4
688:333;1;97.6;173.2;227.2;263.2;290;5
688:334;1;97.6;173.2;227.2;263.2;342;5
688:335;1;97.6;173.2;227.2;263.2;323;5
688:336;1;97.6;173.2;227.2;263.2;292;5
688:337;1;97.6;173.2;227.2;263.2;283;5
688:338;1;97.6;173.2;227.2;263.2;265;5
688:339;1;97.6;173.2;227.2;263.2;200;3
688:340;1;97.6;173.2;227.2;263.2;202;3
688:341;1;97.6;173.2;227.2;263.2;183;3
688:342;1;97.6;173.2;227.2;263.2;236;4
688:343;1;78.08;138.56;181.76;210.56;194;4
688:344;1;97.6;173.2;227.2;263.2;233;4
688:345;1;97.6;173.2;227.2;263.2;241;4
688:346;1;97.6;173.2;227.2;263.2;178;3
688:347;1;97.6;173.2;227.2;263.2;197;3
688:348;1;97.6;173.2;227.2;263.2;178;3
688:349;1;97.6;173.2;227.2;263.2;179;3
688:350;1;97.6;173.2;227.2;263.2;265;5
688:351;1;97.6;173.2;227.2;263.2;231;4
688:352;1;97.6;173.2;227.2;263.2;175;3
688:353;1;97.6;173.2;227.2;263.2;235;4
688:354;1;97.6;173.2;227.2;263.2;185;3
688:355;1;97.6;173.2;227.2;263.2;186;3
688:356;1;97.6;173.2;227.2;263.2;246;4
688:357;1;78.08;138.56;181.76;210.56;246;5
688:358;1;78.08;138.56;181.76;210.56;227;5
688:359;1;97.6;173.2;227.2;263.2;290;5
688:360;1;97.6;173.2;227.2;263.2;228;4
688:361;1;97.6;173.2;227.2;263.2;217;3
688:362;1;97.6;173.2;227.2;263.2;202;3
688:363;1;97.6;173.2;227.2;263.2;215;3
688:364;1;97.6;173.2;227.2;263.2;206;3
